acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439395376.105	20150812_180256		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395376.305	20150812_180256		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395376.505	20150812_180256		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395376.730	20150812_180256		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395376.927	20150812_180256		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395377.130	20150812_180257		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395377.407	20150812_180257		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395377.606	20150812_180257		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395377.805	20150812_180257		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395378.006	20150812_180258		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395378.206	20150812_180258		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395378.431	20150812_180258		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395378.706	20150812_180258		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395378.906	20150812_180258		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395379.107	20150812_180259		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395379.305	20150812_180259		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395379.505	20150812_180259		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395379.730	20150812_180259		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395379.939	20150812_180259		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395380.206	20150812_180300		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395380.423	20150812_180300		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395380.728	20150812_180300		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395381.006	20150812_180301		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395381.228	20150812_180301		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395381.428	20150812_180301		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395381.730	20150812_180301		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395382.032	20150812_180302		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395382.228	20150812_180302		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395382.432	20150812_180302		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395382.606	20150812_180302		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395382.806	20150812_180302		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395383.032	20150812_180303		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395383.307	20150812_180303		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395383.506	20150812_180303		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395383.706	20150812_180303		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395384.030	20150812_180304		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395384.207	20150812_180304		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395384.408	20150812_180304		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395384.608	20150812_180304		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395384.807	20150812_180304		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395385.030	20150812_180305		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395385.308	20150812_180305		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395385.508	20150812_180305		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395385.708	20150812_180305		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395385.907	20150812_180305		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395386.108	20150812_180306		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395386.333	20150812_180306		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395386.531	20150812_180306		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395386.808	20150812_180306		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395387.009	20150812_180307		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395387.208	20150812_180307		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395387.409	20150812_180307		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395387.608	20150812_180307		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395387.833	20150812_180307		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395388.034	20150812_180308		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395388.308	20150812_180308		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395388.509	20150812_180308		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395388.831	20150812_180308		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395389.108	20150812_180309		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395389.334	20150812_180309		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395389.532	20150812_180309		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395389.831	20150812_180309		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
